Query,Total Errors,True Positives,False Positives,Errors Acknowledged
cpp/sql-injection,3,0,3,0
cpp/toctou-race-condition,2,1,1,0
cpp/integer-multiplication-cast-to-long,7,7,0,0
cpp/offset-use-before-range-check,5,2,3,0
cpp/suspicious-allocation-size,2,0,2,0
cpp/uncontrolled-process-operation,2,2,0,0
cpp/world-writable-file-creation,2,0,2,0
cpp/path-injection,10,0,10,0
cpp/type-confusion,1,0,1,0
