Session,Trial,Time-to-Target,Target,Success,Stim Paradigm,Path Efficiency,Shortest Distance,ToD,Average Speed,Total Distance,AD,Target Crosses,Tuning Width,Mouse
3,31,2.078544257,"[[468, 276], b'H']",1,ICMS Only,0.135021594,2.297996968,0.280648359,9.207376682,17.01947737,0.104483013,0,Narrow,SC11LM
3,32,5.516273022,"[[468, 276], b'H']",0,Dim Visual Only,0.111830143,3.363597479,0.6168856,5.978677171,30.0777357,0.029968336,0,Narrow,SC11LM
3,33,3.951289533,"[[235, 276], b'B']",1,Combined,0.302704426,14.13193906,1.196072832,11.79851095,46.68560425,0.279566445,3,Narrow,SC11LM
3,34,1.082679571,"[[468, 391], b'I']",1,Combined,0.701879289,6.639872564,0.759910367,3.812315121,9.460134628,0.788270882,0,Narrow,SC11LM
3,35,5.502343416,"[[235, 391], b'C']",0,Combined,0.444980875,17.80635456,2.448437586,7.293345284,40.01599974,0.125678013,0,Narrow,SC11LM
3,36,3.3871783,"[[351, 276], b'E']",1,Combined,0.290328269,10.11104004,0.983393612,10.27661228,34.82623337,0.308725115,2,Narrow,SC11LM
3,37,5.503388643,"[[351, 159], b'D']",0,Combined,0.312769018,12.80692655,1.72128946,8.101306397,40.94691554,0.168794288,0,Narrow,SC11LM
3,38,5.505246401,"[[468, 276], b'H']",0,Combined,0.060239743,3.563790586,0.33163463,11.05700166,59.16012238,0.076846553,0,Narrow,SC11LM
3,39,1.289051888,"[[351, 276], b'E']",1,Combined,0.493086766,6.864065909,0.635614427,14.24791208,13.92060461,0.246338392,1,Narrow,SC11LM
3,40,5.505293131,"[[235, 159], b'A']",0,Bright Visual Only,0.40043192,18.31124866,2.204495096,8.362484899,45.7287438,0.210387719,0,Narrow,SC11LM
3,41,5.502840281,"[[468, 276], b'H']",0,Sham,0.416640015,4.301511493,2.292703459,2.706537094,10.32428796,0.314477413,0,Narrow,SC11LM
3,42,4.128436967,"[[468, 276], b'H']",1,Bright Visual Only,0.097987386,3.935636628,0.404534745,10.04720247,40.16472737,0.216576561,1,Narrow,SC11LM
3,43,1.865825653,"[[351, 276], b'E']",1,Combined,0.562148732,10.69068268,1.048871525,9.489161335,19.0175341,0.454100679,1,Narrow,SC11LM
3,44,1.156715987,"[[468, 391], b'I']",1,Combined,0.522300723,7.070808272,0.604153596,15.57376207,13.53781062,0.207113958,1,Narrow,SC11LM
3,45,5.504565001,"[[235, 391], b'C']",0,Combined,0.367093205,16.97101345,2.020688406,9.311127828,46.23080254,0.058285374,1,Narrow,SC11LM
3,46,5.500275373,"[[235, 391], b'C']",0,Combined,0.283605006,12.93124288,1.559905628,9.205476515,45.59596138,0.036361805,1,Narrow,SC11LM
3,47,0.5,"[[351, 276], b'E']",1,Combined,0.427197647,4.303085005,0.213598824,26.05840043,10.07281999,0.389999913,1,Narrow,SC11LM
